Type	AgentConfig	TestInstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlPlanningObjects	ClientID	TargetValue
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,03691
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,05554
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,2288918125
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,32121791875
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,475831825
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,475831825
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,3819556375
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,15794
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,15991
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,3805109
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	5,90588235294118
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	5,90588235294118
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	29,8953025397059
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	29,8953025397059
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	29,4099852257353
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	5,90649411764706
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,27268435
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,27816483
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,11196
